epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,166.218,0.52835,0.46798,0.87905,0.99797,1,0.995,0.92772,0.37147,0.61137,0.86877,0.00028543,0.00028543,0.00028543
25,171.971,0.47001,0.48199,0.9262,0.99783,1,0.995,0.91342,0.41306,0.55406,0.88843,0.00028992,0.00028992,0.00028992
26,177.944,0.48188,0.42186,0.88868,0.99783,1,0.995,0.91342,0.41306,0.55406,0.88843,0.00029375,0.00029375,0.00029375
27,183.907,0.43444,0.46664,0.91208,0.99779,1,0.995,0.91233,0.41671,0.65372,0.89413,0.00029692,0.00029692,0.00029692
28,189.945,0.42411,0.39863,0.85851,0.99779,1,0.995,0.91233,0.41671,0.65372,0.89413,0.00029943,0.00029943,0.00029943
29,196.055,0.44956,0.3614,0.86662,0.99781,1,0.995,0.91531,0.40934,0.62853,0.88282,0.00030128,0.00030128,0.00030128
30,201.845,0.46542,0.42324,0.88529,0.99781,1,0.995,0.91531,0.40934,0.62853,0.88282,0.00030247,0.00030247,0.00030247
31,208.311,0.42169,0.42439,0.88478,0.99794,1,0.995,0.92178,0.37526,0.52872,0.86642,0.000303,0.000303,0.000303
32,214.375,0.41039,0.35512,0.85766,0.99794,1,0.995,0.92178,0.37526,0.52872,0.86642,0.00030287,0.00030287,0.00030287
33,220.389,0.4489,0.38169,0.86826,0.99787,1,0.995,0.92159,0.38459,0.46984,0.87407,0.00030208,0.00030208,0.00030208
34,226.365,0.39706,0.35692,0.85736,0.99787,1,0.995,0.92159,0.38459,0.46984,0.87407,0.00030063,0.00030063,0.00030063
35,232.46,0.37685,0.35076,0.86375,0.99743,1,0.995,0.92513,0.3965,0.51782,0.87827,0.00029852,0.00029852,0.00029852
36,238.557,0.44619,0.36311,0.90473,0.99743,1,0.995,0.92513,0.3965,0.51782,0.87827,0.00029575,0.00029575,0.00029575
37,244.573,0.44267,0.38487,0.89014,0.99623,1,0.995,0.92169,0.36704,0.52892,0.86939,0.00029232,0.00029232,0.00029232
38,250.859,0.39912,0.3723,0.85965,0.99623,1,0.995,0.92169,0.36704,0.52892,0.86939,0.00028823,0.00028823,0.00028823
39,257.274,0.36831,0.37252,0.83632,0.98849,1,0.995,0.93042,0.33805,0.55448,0.85849,0.00028348,0.00028348,0.00028348
40,263.51,0.46702,0.4487,0.90753,0.98849,1,0.995,0.93042,0.33805,0.55448,0.85849,0.00027807,0.00027807,0.00027807
41,269.632,0.41054,0.338,0.8721,0.96207,1,0.995,0.94729,0.31812,0.58319,0.85499,0.000272,0.000272,0.000272
42,275.675,0.38965,0.32583,0.84751,0.96207,1,0.995,0.94729,0.31812,0.58319,0.85499,0.00026527,0.00026527,0.00026527
43,281.562,0.38211,0.31157,0.83912,0.959,1,0.995,0.94632,0.31029,0.51806,0.85235,0.00025788,0.00025788,0.00025788
44,287.529,0.39313,0.33856,0.86981,0.959,1,0.995,0.94632,0.31029,0.51806,0.85235,0.00024983,0.00024983,0.00024983
45,293.44,0.38092,0.31818,0.85829,0.96153,1,0.995,0.9675,0.29972,0.44528,0.84934,0.00024112,0.00024112,0.00024112
46,299.552,0.39798,0.30702,0.86853,0.96153,1,0.995,0.9675,0.29972,0.44528,0.84934,0.00023175,0.00023175,0.00023175
47,305.643,0.41116,0.33786,0.86232,0.96368,1,0.995,0.95398,0.29807,0.40167,0.85221,0.00022172,0.00022172,0.00022172
48,311.513,0.41232,0.31776,0.88155,0.96368,1,0.995,0.95398,0.29807,0.40167,0.85221,0.00021103,0.00021103,0.00021103
49,317.62,0.38952,0.31972,0.8761,0.99171,1,0.995,0.95068,0.29837,0.35359,0.84899,0.00019968,0.00019968,0.00019968
50,323.529,0.36464,0.31082,0.85974,0.99171,1,0.995,0.95068,0.29837,0.35359,0.84899,0.00018767,0.00018767,0.00018767
51,329.536,0.37937,0.49574,0.8487,0.99618,1,0.995,0.95343,0.29761,0.33438,0.84635,0.000175,0.000175,0.000175
52,335.337,0.32182,0.38885,0.82208,0.99618,1,0.995,0.95343,0.29761,0.33438,0.84635,0.00016167,0.00016167,0.00016167
53,341.164,0.35681,0.37631,0.847,0.99618,1,0.995,0.95343,0.29761,0.33438,0.84635,0.00014768,0.00014768,0.00014768
54,346.997,0.36474,0.41521,0.82283,0.99796,1,0.995,0.96744,0.28576,0.33011,0.84346,0.00013303,0.00013303,0.00013303
55,352.91,0.37633,0.40677,0.83398,0.99796,1,0.995,0.96744,0.28576,0.33011,0.84346,0.00011772,0.00011772,0.00011772
56,359.087,0.37145,0.4148,0.7708,0.99796,1,0.995,0.96744,0.28576,0.33011,0.84346,0.00010175,0.00010175,0.00010175
57,365.045,0.36397,0.37748,0.85591,0.99786,1,0.995,0.95975,0.27705,0.33377,0.84211,8.512e-05,8.512e-05,8.512e-05
58,370.97,0.32721,0.35491,0.81918,0.99786,1,0.995,0.95975,0.27705,0.33377,0.84211,6.783e-05,6.783e-05,6.783e-05
59,376.955,0.31466,0.34705,0.7788,0.99786,1,0.995,0.95975,0.27705,0.33377,0.84211,4.988e-05,4.988e-05,4.988e-05
60,383.484,0.30704,0.34851,0.79833,0.99782,1,0.995,0.97359,0.26967,0.33269,0.84014,3.127e-05,3.127e-05,3.127e-05
1,8.06879,1.35376,2.43838,1.41771,0.56729,0.60518,0.56159,0.44612,0.62266,1.51363,1.0261,0,0,0
2,14.673,1.24937,2.28032,1.32314,0.59734,0.63462,0.65087,0.52866,0.5979,1.38812,1.00751,1.967e-05,1.967e-05,1.967e-05
3,21.0319,1.10148,2.10376,1.31253,0.70531,0.73077,0.80206,0.65564,0.55003,1.17147,0.97232,3.868e-05,3.868e-05,3.868e-05
4,27.3667,0.99583,1.64922,1.17115,0.84609,0.84575,0.8964,0.76937,0.50048,1.0991,0.95255,5.703e-05,5.703e-05,5.703e-05
5,33.71,0.92665,1.34527,1.15254,0.91548,0.86538,0.96182,0.83647,0.4913,1.1762,0.9558,7.472e-05,7.472e-05,7.472e-05
